current_date,current_time,departure_time,arrival_time,airline,duration,stops,price,dep_airport,arr_airport,operated_by,other
2019-7-8,22:25,8:30pm,8:45am,Virgin Atlantic,7h 15m,(Nonstop),"$1,153",John F. Kennedy Intl. (JFK),Heathrow (LHR),Virgin Atlantic 154,Airbus A330-300 | Dinner
2019-7-8,22:25,9:00pm,9:15am,Virgin Atlantic,7h 15m,(Nonstop),"$1,153",John F. Kennedy Intl. (JFK),Heathrow (LHR),Virgin Atlantic 46,Airbus A340-600 | Dinner
2019-7-8,22:25,10:00pm,10:15am,Virgin Atlantic,7h 20m,(Nonstop),"$1,153",John F. Kennedy Intl. (JFK),Heathrow (LHR),Virgin Atlantic 10,Airbus A340-600 | Dinner
2019-7-8,22:25,7:00pm,7:20am,Air France,7h 10m,(Nonstop),"$1,167",John F. Kennedy Intl. (JFK),Heathrow (LHR),Virgin Atlantic 138,Airbus A330-300 | Dinner
2019-7-8,22:25,11:00pm,11:10am,KLM,7h 10m,(Nonstop),"$1,167",John F. Kennedy Intl. (JFK),Heathrow (LHR),Air France 3662 operated by Delta,Airbus A330-200 | Dinner
2019-7-8,22:25,11:00pm,11:10am,United,7h 10m,(Nonstop),"$1,250",John F. Kennedy Intl. (JFK),Heathrow (LHR),KLM 6103 operated by Delta,Airbus A330-200 | Dinner
2019-7-8,22:25,7:00pm,7:10am,United,7h 10m,(Nonstop),"$1,250",Liberty Intl. (EWR),Heathrow (LHR),United 14,Boeing 767-300 | Dinner
2019-7-8,22:25,10:00pm,10:10am,United,7h 20m,(Nonstop),"$1,250",Liberty Intl. (EWR),Heathrow (LHR),United 940,Boeing 767-300 | Dinner
2019-7-8,22:25,6:00pm,6:20am,United,7h 20m,(Nonstop),"$1,250",Liberty Intl. (EWR),Heathrow (LHR),United 110,Boeing 767-300 | Dinner
2019-7-8,22:25,9:00pm,9:20am,Air France,6h 55m,(Nonstop),"$1,293",Liberty Intl. (EWR),Heathrow (LHR),United 16,Boeing 767-300 | Dinner
2019-7-8,22:25,8:15am,8:10pm,British Airways,7h 0m,(Nonstop),"$1,473",John F. Kennedy Intl. (JFK),Heathrow (LHR),Air France 9656 operated by Virgin Atlantic,Airbus A340-600 | Lunch
2019-7-8,22:25,6:30pm,6:30am,British Airways,7h 0m,(Nonstop),"$1,473",John F. Kennedy Intl. (JFK),Heathrow (LHR),British Airways 112,Boeing 747-400 | Meal
2019-7-8,22:25,9:35pm,9:35am,British Airways,7h 5m,(Nonstop),"$1,473",Liberty Intl. (EWR),Heathrow (LHR),British Airways 188,Boeing 787-8 | Meal
2019-7-8,22:25,9:30pm,9:35am,United,7h 10m,(Nonstop),"$1,559",John F. Kennedy Intl. (JFK),Heathrow (LHR),British Airways 114,Boeing 777 | Meal
2019-7-8,22:25,8:30am,8:40pm,Lufthansa,7h 10m,(Nonstop),"$1,569",Liberty Intl. (EWR),Heathrow (LHR),United 934,Boeing 767 | Breakfast
2019-7-8,22:25,7:00pm,7:10am,Virgin Atlantic,6h 55m,(Nonstop),"$1,845",Liberty Intl. (EWR),Heathrow (LHR),Lufthansa 7626 operated by United,Boeing 767-300 | Dinner
2019-7-8,22:25,8:15am,8:10pm,Virgin Atlantic,7h 25m,(Nonstop),"$1,845",John F. Kennedy Intl. (JFK),Heathrow (LHR),Virgin Atlantic 26,Airbus A340-600 | Lunch
2019-7-8,22:25,6:00pm,6:25am,Virgin Atlantic,7h 5m,(Nonstop),"$2,199",John F. Kennedy Intl. (JFK),Heathrow (LHR),Virgin Atlantic 4,Airbus A330-300 | Dinner
2019-7-8,22:25,10:00pm,10:05am,British Airways,7h 10m,(Nonstop),"$2,203",Liberty Intl. (EWR),Heathrow (LHR),Virgin Atlantic 2,Airbus A330-300 | Dinner
2019-7-8,22:25,6:05pm,6:15am,Finnair,6h 50m,(Nonstop),"$2,324",Liberty Intl. (EWR),Heathrow (LHR),British Airways 184,Boeing 777 | Meal
2019-7-8,22:25,7:55am,7:45pm,Iberia,6h 50m,(Nonstop),"$2,324",John F. Kennedy Intl. (JFK),Heathrow (LHR),Finnair 5478 operated by British Airways,Boeing 747-400 | Meal
2019-7-8,22:25,7:55am,7:45pm,Finnair,6h 50m,(Nonstop),"$2,324",John F. Kennedy Intl. (JFK),Heathrow (LHR),Iberia 7377 operated by British Airways,Boeing 747-400
